BOROUGH,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
1,392,6,10009,5,0,5,1900,2,6625000
1,402,21,10009,10,0,10,1913,2,3936272
1,404,55,10009,6,0,6,1900,2,8000000
1,406,32,10009,8,0,8,1920,2,3192840
1,387,153,10009,24,0,24,1920,2,16232000
1,400,21,10009,10,0,10,2009,2,10350000
1,373,40,10009,0,0,0,1920,2,499000
1,373,40,10009,0,0,0,1920,2,529500
1,373,40,10009,0,0,0,1920,2,423000
1,373,46,10009,0,0,0,1925,2,501000
1,373,49,10009,0,0,0,1920,2,450000
1,373,49,10009,0,0,0,1920,2,510000
1,375,30,10009,0,0,0,1902,2,350000
1,376,14,10009,24,0,24,1928,2,11900000
1,376,14,10009,0,0,0,1928,2,11900000
1,376,16,10009,0,0,0,1928,2,350000
1,376,16,10009,0,0,0,1928,2,404000
1,376,19,10009,0,0,0,1910,2,535000
1,377,54,10009,0,0,0,1920,2,1400000
1,377,60,10009,0,0,0,1900,2,866000
1,379,15,10009,0,0,0,1930,2,355000
1,389,21,10009,0,0,0,1900,2,805000
1,389,49,10009,0,0,0,1910,2,475000
1,389,50,10009,0,0,0,1920,2,450000
1,389,50,10009,0,0,0,1920,2,450000
1,390,55,10009,0,0,0,1935,2,810000
1,391,14,10009,0,0,0,1910,2,300000
1,391,14,10009,0,0,0,1910,2,300000
1,391,48,10009,0,0,0,1910,2,579000
1,391,57,10009,0,0,0,1900,2,1500000
1,393,39,10009,0,0,0,1900,2,25000
1,394,52,10009,0,0,0,1937,2,512000
1,394,52,10009,0,0,0,1937,2,410000
1,394,52,10009,0,0,0,1937,2,500000
1,394,52,10009,0,0,0,1937,2,510000
1,396,20,10009,0,0,0,1920,2,475000
1,396,20,10009,0,0,0,1920,2,789019
1,396,20,10009,0,0,0,1920,2,425000
1,396,20,10009,0,0,0,1920,2,490000
1,397,25,10009,0,0,0,1915,2,409000
1,397,25,10009,0,0,0,1915,2,415000
1,398,58,10009,0,0,0,1950,2,420000
1,398,58,10009,0,0,0,1950,2,435000
1,400,45,10009,0,0,0,1937,2,575000
1,400,45,10009,0,0,0,1937,2,605000
1,401,12,10009,0,0,0,1900,2,799000
1,401,12,10009,0,0,0,1900,2,800000
1,401,50,10009,0,0,0,1900,2,54993
1,401,57,10009,0,0,0,1929,2,410000
1,402,47,10009,0,0,0,1900,2,1475000
1,404,10,10009,0,0,0,1929,2,335000
1,404,21,10009,0,0,0,1920,2,490000
1,404,26,10009,0,0,0,1928,2,750000
1,404,27,10009,0,0,0,1900,2,780000
